Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-03-03,2016,3,3,Thursday,09,2016-09,59.12,59.2,58.2,59.04,8261900,52.05,-0.008730810308124837,51.251428571428576,51.03190476190476
2016-03-04,2016,3,4,Friday,09,2016-09,59.14,59.19,58.23,58.7,8344800,51.75,-0.005758542568637726,51.430714285714295,51.0486046511628
2016-03-07,2016,3,7,Monday,10,2016-10,58.44,58.67,57.31,58.0,9199100,51.13,-0.011925032668242408,51.53071428571429,51.05045454545454
2016-03-08,2016,3,8,Tuesday,10,2016-10,57.58,58.23,57.26,57.6,8127400,50.78,-0.006896982906646754,51.52928571428571,51.044444444444444
2016-03-09,2016,3,9,Wednesday,10,2016-10,57.78,57.97,56.79,57.07,9734600,50.31,-0.009201293911766162,51.53642857142857,51.02847826086956
2016-03-10,2016,3,10,Thursday,10,2016-10,57.51,57.86,56.92,57.52,7014500,50.71,0.007885065719496431,51.527142857142856,51.02170212765957
2016-03-11,2016,3,11,Friday,10,2016-10,58.1,58.1,56.57,57.59,15497600,50.77,0.001217004998620208,51.44642857142857,51.01645833333333
2016-03-14,2016,3,14,Monday,11,2016-11,57.58,58.78,57.5,58.65,9053300,51.7,0.01840600602089837,51.457857142857144,51.0304081632653
2016-03-15,2016,3,15,Tuesday,11,2016-11,58.32,59.16,58.17,59.08,7428500,52.08,0.0073316292847274145,51.51857142857143,51.0514
2016-03-16,2016,3,16,Wednesday,11,2016-11,58.65,59.82,58.65,59.67,8069400,52.6,0.009986468882164479,51.576428571428565,51.0796
2016-03-17,2016,3,17,Thursday,11,2016-11,59.47,59.98,59.37,59.55,7734700,52.5,-0.00201104927661766,51.652857142857144,51.099000000000004
2016-03-18,2016,3,18,Friday,11,2016-11,59.91,60.45,59.43,59.7,14313600,52.63,0.0025188953484147625,51.74642857142857,51.13
2016-03-21,2016,3,21,Monday,12,2016-12,59.56,59.86,59.02,59.1,6487200,52.1,-0.010050193342365787,51.68714285714286,51.1758
2016-03-22,2016,3,22,Tuesday,12,2016-12,59.0,59.55,58.57,59.38,8246800,52.35,0.00473772948491602,51.675714285714285,51.2276
2016-03-23,2016,3,23,Wednesday,12,2016-12,59.14,59.4,58.69,58.83,5794500,51.86,-0.009262366528417276,51.662142857142854,51.2486
2016-03-24,2016,3,24,Thursday,12,2016-12,58.7,58.79,58.28,58.36,5948300,51.45,-0.007989215607094313,51.64071428571429,51.232600000000005
2016-03-28,2016,3,28,Monday,13,2016-13,58.56,59.47,58.4,58.96,5791600,51.98,0.01028125203211161,51.701428571428565,51.255199999999995
2016-03-29,2016,3,29,Tuesday,13,2016-13,58.82,59.74,58.82,59.55,6031400,52.5,0.010006571624468386,51.824285714285715,51.2688
2016-03-30,2016,3,30,Wednesday,13,2016-13,60.0,60.26,59.51,60.01,5723500,52.9,0.007724689912239846,52.009285714285724,51.3076
2016-03-31,2016,3,31,Thursday,13,2016-13,59.77,60.21,59.68,59.7,5622800,52.63,-0.005165889668018786,52.14642857142858,51.331199999999995
2016-04-01,2016,4,1,Friday,13,2016-13,59.61,61.17,59.41,61.02,9401100,53.79,0.022110642803567337,52.362142857142864,51.406800000000004
2016-04-04,2016,4,4,Monday,14,2016-14,61.1,61.18,60.08,60.25,5799900,53.11,-0.012618840140650955,52.462857142857146,51.431599999999996
2016-04-05,2016,4,5,Tuesday,14,2016-14,59.88,60.23,59.44,60.04,4994800,52.93,-0.00348558256868281,52.52357142857143,51.4504
2016-04-06,2016,4,6,Wednesday,14,2016-14,60.02,60.91,59.91,60.83,5667300,53.62,0.013158077764307441,52.596428571428575,51.508599999999994
2016-04-07,2016,4,7,Thursday,14,2016-14,60.59,61.54,60.54,61.17,8239200,53.92,0.005589089126010638,52.69785714285714,51.556999999999995
2016-04-08,2016,4,8,Friday,14,2016-14,61.5,61.64,60.7,61.04,5064900,53.81,-0.0021252186887664726,52.78214285714286,51.6204
2016-04-11,2016,4,11,Monday,15,2016-15,61.22,61.5,60.78,60.9,6103400,53.69,-0.0022934350589806085,52.895714285714284,51.6522
2016-04-12,2016,4,12,Tuesday,15,2016-15,58.95,59.68,58.37,59.5,17565800,52.45,-0.022988562101255994,52.902857142857144,51.633199999999995
2016-04-13,2016,4,13,Wednesday,15,2016-15,60.32,61.08,59.75,60.21,9898500,53.08,0.01193284408844697,52.99,51.6158
2016-04-14,2016,4,14,Thursday,15,2016-15,60.26,60.4,59.91,60.13,5157400,53.01,-0.0013287950145571825,53.10142857142858,51.6058
2016-04-15,2016,4,15,Friday,15,2016-15,60.24,60.62,60.01,60.51,5965300,53.34,0.006319472875663479,53.198571428571434,51.623000000000005
2016-04-18,2016,4,18,Monday,16,2016-16,60.69,61.07,60.36,60.89,7228600,53.68,0.006280288518542676,53.28285714285715,51.668800000000005
